,api,labels,top_labels,imgs_in_api,api_recall,api_recall_semantic,api_precision,api_precision_semantic,api_f1,api_f1_semantic,api_ap,api_ap_sem,img_acc,img_acc_semantic,img_acc_bl,img_acc_bl_semantic,api_wmd,api_bert_fine,api_bert,api_roberta_fine,api_roberta,api_xlnet
1,1000new_img_4_clarifai,3728,1,823,0.070657596,0.153027582,0.206561361,0.476306197,0.098207803,0.212425684,0.206561361,0.476306197,0.070657596,0.153027582,0.535222271,0.576443491,3.240960805,0.314851739,0.852967779,0.289691939,0.998636375,0.921814488
1,1000new_img_4_clarifai,3728,3,823,0.160332843,0.313254509,0.172134467,0.349534224,0.152474874,0.300206176,0.298805184,0.572296476,0.097861964,0.20240377,0.579832979,0.656365288,3.014029463,0.382509744,0.866654061,0.341588524,0.998337603,0.942562958
1,1000new_img_4_clarifai,3728,5,823,0.214939984,0.408852448,0.142891859,0.282624544,0.157657953,0.305368906,0.317851357,0.572578304,0.095713797,0.197672173,0.606894627,0.703944693,3.018283476,0.390575353,0.869273993,0.347502288,0.998255396,0.933065967
2,1000new_img_7_googlevision,3728,1,996,0.079017332,0.130752433,0.225903614,0.401606426,0.108500225,0.182049359,0.225903614,0.401606426,0.079017332,0.130752433,0.539404736,0.565295884,3.342506793,0.337691355,0.858379402,0.297466547,0.998608562,0.918021087
2,1000new_img_7_googlevision,3728,3,996,0.190484315,0.292367686,0.187751004,0.315930388,0.171772374,0.275530751,0.302710843,0.484437751,0.118370514,0.194322527,0.594920932,0.645913455,3.043917614,0.417380744,0.868503895,0.366713323,0.998383722,0.936058665
2,1000new_img_7_googlevision,3728,5,996,0.260764751,0.386021461,0.154417671,0.257613788,0.175996068,0.279176617,0.314982151,0.487057954,0.11302377,0.186246772,0.629838461,0.69253357,3.031254222,0.433370306,0.868441041,0.379542556,0.998256367,0.927669081
3,1000new_img_2_ibmwatson,3728,1,871,0.037918549,0.108538349,0.120551091,0.400688863,0.053668786,0.157528151,0.120551091,0.400688863,0.037918549,0.108538349,0.518841201,0.554188731,3.378849584,0.206213501,0.846571545,0.197749746,0.998018757,0.93117186
3,1000new_img_2_ibmwatson,3728,3,871,0.180835745,0.312189791,0.185419059,0.36318408,0.166263191,0.304642694,0.27449292,0.518274015,0.107243739,0.209554256,0.590090477,0.655839056,2.901298447,0.313257033,0.876742692,0.296151347,0.997992006,0.930355601
3,1000new_img_2_ibmwatson,3728,5,871,0.263770182,0.421398849,0.170378875,0.307252201,0.188351623,0.322317848,0.312739189,0.522869626,0.115638862,0.213422874,0.63134113,0.710244296,2.859432257,0.338665373,0.872147907,0.317007656,0.997940536,0.919293687
4,1000new_img_1_imagga,3728,1,914,0.071177637,0.141980552,0.217724289,0.43107221,0.098792373,0.197638992,0.217724289,0.43107221,0.071177637,0.141980552,0.535483793,0.570913898,3.419581898,0.321930293,0.851962161,0.289960413,0.998587262,0.923416195
4,1000new_img_1_imagga,3728,3,914,0.175043468,0.302876409,0.179431072,0.334062728,0.161299745,0.28946188,0.322027717,0.523158279,0.102630723,0.199857312,0.587191229,0.651170001,3.104536768,0.400343845,0.860995199,0.36611278,0.998434794,0.939415701
4,1000new_img_1_imagga,3728,5,914,0.257004134,0.411704491,0.159956236,0.275492341,0.180176417,0.301105114,0.345237661,0.532579626,0.109653943,0.197248203,0.627938152,0.705365917,3.032623188,0.423757103,0.865907248,0.384702597,0.998374747,0.931639073
5,1000new_img_5_microsoft_oxford,3728,1,833,0.185182684,0.211639458,0.667466987,0.728691477,0.270886475,0.30580711,0.667466987,0.728691477,0.185182684,0.211639458,0.592546708,0.605783312,2.794686952,0.419551917,0.858778484,0.358959726,0.998580998,0.919642317
5,1000new_img_5_microsoft_oxford,3728,3,833,0.24023811,0.345771332,0.451780712,0.62204882,0.28401459,0.404619166,0.705682273,0.771008403,0.187773518,0.287513817,0.619931753,0.672755766,2.645470737,0.470292095,0.860429646,0.407335111,0.99846308,0.936924165
5,1000new_img_5_microsoft_oxford,3728,5,833,0.266224722,0.384840203,0.419567827,0.565686275,0.282226482,0.398707248,0.697313926,0.767400293,0.185609385,0.278245417,0.632817219,0.69218865,2.621510369,0.476377663,0.862277537,0.415787273,0.998489704,0.935602555
6,1000new_img_6_wolfram,3728,1,1000,0.045513154,0.107167829,0.187,0.391,0.06931595,0.158116593,0.187,0.391,0.045513154,0.107167829,0.521189452,0.552411705,3.628558647,0.28245848,0.849693313,0.244421343,0.998349424,0.926901542
6,1000new_img_6_wolfram,3728,3,1000,0.09821723,0.241535878,0.114666667,0.276666667,0.096110685,0.233796345,0.247166667,0.483083333,0.058814396,0.152969378,0.543984562,0.616585707,3.423366831,0.325868161,0.853835796,0.287587391,0.998247611,0.929558736
6,1000new_img_6_wolfram,3728,5,1000,0.129877223,0.329433927,0.09245,0.22985,0.098687696,0.246406148,0.265647222,0.493669444,0.057628763,0.156473698,0.556186701,0.657296771,3.385746547,0.342431521,0.845731196,0.307289296,0.998112096,0.917743723
7,1000new_img_9_deepdetect,3728,1,917,0.008041665,0.084052577,0.028353326,0.317339149,0.011480752,0.124644717,0.028353326,0.317339149,0.008041665,0.084052577,0.503890378,0.541934648,3.755790818,0.220262695,0.84412686,0.207570102,0.998258603,0.930060918
7,1000new_img_9_deepdetect,3728,3,917,0.014891594,0.200356865,0.018902217,0.257724464,0.014801851,0.206394282,0.041075972,0.408760451,0.008731646,0.135636945,0.507050628,0.599879493,3.59384752,0.257720225,0.842103041,0.248882017,0.998010602,0.914483269
7,1000new_img_9_deepdetect,3728,5,917,0.018114232,0.253831344,0.013522356,0.204798255,0.013789576,0.207940005,0.042875318,0.414953653,0.007785879,0.132673932,0.508394887,0.626381906,3.580420774,0.262520636,0.829697225,0.252120789,0.99784397,0.897804593
8,1000new_img_12_InceptionResNetV2,3728,1,1000,0.016480988,0.104639777,0.054,0.37,0.022640426,0.152420165,0.054,0.37,0.016480988,0.104639777,0.508113485,0.552235317,3.672960318,0.25009681,0.845835933,0.230131876,0.998250808,0.929522976
8,1000new_img_12_InceptionResNetV2,3728,3,1000,0.023156782,0.216949201,0.028333333,0.273666667,0.022495108,0.222003698,0.065583333,0.455333333,0.013406234,0.147615778,0.511187022,0.608182081,3.544873344,0.280112481,0.840161322,0.265385269,0.998049521,0.915541516
8,1000new_img_12_InceptionResNetV2,3728,5,1000,0.025973449,0.283638253,0.0188,0.2212,0.019390384,0.228153076,0.067683333,0.456773611,0.010999161,0.147638622,0.512328039,0.641296368,3.542342182,0.282592017,0.827902164,0.267069606,0.997897455,0.899338998
9,1000new_img_11_tensorflow,3728,1,1000,0.016430195,0.098713514,0.052,0.341,0.022433283,0.142620886,0.052,0.341,0.016430195,0.098713514,0.508087819,0.54926829,3.696299718,0.24410589,0.845706862,0.226375108,0.998266671,0.929072791
9,1000new_img_11_tensorflow,3728,3,1000,0.023063925,0.218274811,0.027666667,0.271666667,0.022244437,0.220401203,0.063083333,0.434666667,0.013280837,0.145322231,0.511140324,0.608844082,3.544710549,0.274330185,0.8401181,0.258024595,0.998041474,0.915759074
9,1000new_img_11_tensorflow,3728,5,1000,0.025415115,0.28229821,0.0186,0.2186,0.019212657,0.225556344,0.065533333,0.439897222,0.010897573,0.144878954,0.512048738,0.6406246,3.540477216,0.278107758,0.829300816,0.260690501,0.997880273,0.895921468
10,1000new_img_13_mobilenet_v2,3728,1,1000,0.012490909,0.09501034,0.044,0.334,0.017567338,0.137523682,0.044,0.334,0.012490909,0.09501034,0.506117102,0.547415764,3.744280193,0.232283933,0.844089761,0.216881187,0.998239195,0.928392467
10,1000new_img_13_mobilenet_v2,3728,3,1000,0.020363925,0.208803014,0.024,0.259333333,0.01927101,0.21075102,0.053833333,0.421833333,0.01152052,0.138982332,0.509788847,0.604103213,3.57971065,0.267979118,0.840159538,0.256397956,0.998012894,0.915042754
10,1000new_img_13_mobilenet_v2,3728,5,1000,0.023132973,0.276952553,0.0164,0.215,0.01709256,0.222174817,0.056158333,0.42585,0.009730474,0.143174117,0.510906189,0.637949353,3.563825267,0.268753895,0.828782127,0.25866709,0.997840137,0.894436733
11,1000new_img_17_resnet_imgnet,3728,1,1000,0.013607179,0.089898832,0.044,0.318,0.018636458,0.13037361,0.044,0.318,0.013607179,0.089898832,0.506675237,0.544857861,3.759872327,0.22628001,0.842505552,0.215808459,0.998262283,0.926952235
11,1000new_img_17_resnet_imgnet,3728,3,1000,0.019865115,0.207271195,0.023333333,0.260333333,0.018709827,0.210899662,0.054333333,0.413583333,0.011134409,0.139289864,0.509539173,0.603337707,3.59740544,0.268379869,0.837365642,0.257345811,0.998010651,0.914028221
11,1000new_img_17_resnet_imgnet,3728,5,1000,0.022699639,0.271796961,0.0166,0.2102,0.01702969,0.216968208,0.056525,0.417868056,0.009692847,0.139729803,0.510689657,0.635368334,3.571221497,0.268551763,0.826300261,0.262019436,0.99784141,0.893845235
12,1000new_img_15_resnet_coco,3728,1,891,0.160838971,0.196561719,0.620650954,0.711560045,0.241342906,0.289552378,0.620650954,0.711560045,0.160838971,0.196561719,0.580368571,0.598242148,2.910203957,0.381000527,0.857371829,0.32960848,0.998568966,0.922180166
12,1000new_img_15_resnet_coco,3728,3,891,0.184952736,0.350285389,0.263374486,0.49251777,0.200057464,0.37830408,0.647586981,0.738402544,0.120223092,0.264703512,0.592192477,0.674946986,2.872866488,0.393356626,0.851602771,0.350525748,0.998325432,0.939293144
12,1000new_img_15_resnet_coco,3728,5,891,0.191216917,0.400500083,0.180882903,0.368069585,0.167806645,0.348870123,0.645077316,0.727218169,0.097917322,0.234546058,0.595099566,0.699854359,2.895357137,0.373800739,0.848564907,0.338469304,0.998328197,0.932394108
13,1000new_img_18_vgg19,3728,1,1000,0.013194877,0.096202403,0.042,0.331,0.017978644,0.13829085,0.042,0.331,0.013194877,0.096202403,0.506468817,0.548011392,3.744745302,0.227385488,0.843144657,0.218882595,0.998236044,0.927341213
13,1000new_img_18_vgg19,3728,3,1000,0.020338528,0.205631874,0.022,0.253333333,0.018340036,0.207261287,0.051,0.417333333,0.011034373,0.137428566,0.509775342,0.602515224,3.591594573,0.264106212,0.83736589,0.253868725,0.998014095,0.913524077
13,1000new_img_18_vgg19,3728,5,1000,0.023646861,0.274127867,0.0156,0.2096,0.01651935,0.217279624,0.05375,0.422575,0.00939078,0.139695565,0.511162596,0.636533384,3.574557408,0.266194466,0.826572491,0.254549907,0.997845103,0.894963146
14,1000new_img_14_yolo_v3,3728,1,1000,0.014701227,0.079339705,0.046,0.275,0.019865945,0.113965381,0.046,0.275,0.014701227,0.079339705,0.507222529,0.539572523,3.806132386,0.226366796,0.846111336,0.208720126,0.99835447,0.925355371
14,1000new_img_14_yolo_v3,3728,3,1000,0.019151227,0.177596159,0.021666667,0.222333333,0.017726039,0.180494205,0.0525,0.366083333,0.01064386,0.116419895,0.509181557,0.588484877,3.637167192,0.276516954,0.851704118,0.260823284,0.998317023,0.929470125
14,1000new_img_14_yolo_v3,3728,5,1000,0.02133456,0.239277459,0.015,0.181,0.015529301,0.189098938,0.054725,0.372752778,0.008837378,0.119724554,0.510006043,0.619088969,3.627692647,0.284004989,0.851458657,0.266123856,0.998172251,0.914177441
15,1000new_img_16_yolo_v3_coco,3728,1,844,0.177740144,0.211725136,0.684834123,0.759478673,0.265976804,0.309890424,0.684834123,0.759478673,0.177740144,0.211725136,0.588827774,0.605830289,2.806312427,0.40074391,0.857292898,0.338570998,0.998542704,0.92184029
15,1000new_img_16_yolo_v3_coco,3728,3,844,0.195895945,0.342068167,0.329186414,0.553515008,0.223434674,0.388861611,0.696879937,0.775375197,0.1376836,0.273693847,0.597709345,0.670877095,2.796672413,0.41869873,0.849720179,0.367603673,0.998314186,0.937290839
15,1000new_img_16_yolo_v3_coco,3728,5,844,0.200187605,0.368766854,0.268127962,0.458886256,0.201286212,0.367326923,0.693720379,0.766406661,0.122230916,0.251620787,0.599714196,0.684102335,2.798391564,0.406091161,0.852458099,0.367024297,0.99838619,0.934560693
